object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
Cr69,,OPNCL,ORI,5,35.1,9,56,2.8,99.9,180,11,65m,,,II 3 p n,20,,,4''-B; vL; nC; 31* at 17X; miniature Belt of Orion,Lambda Ori cluster
NGC1973,Ced55B,BRTNB,ORI,5,35.1,-4,44,7,99.9,225,11,5m,5m,,E,,,B,*8;9 inv in neb,
NGC1981,OCL525,OPNCL,ORI,5,35.2,-4,26,4.2,99.9,225,11,25m,,,III 2 p n,20,6.3,,Cl;vB;lRi;st L;sc,In Ori OB1;incl D* Struve 750
NGC1975,Ced55C,BRTNB,ORI,5,35.3,-4,41,7,99.9,225,11,10m,5m,,E,,,,B** inv in neb,
NGC1976,M42,CL+NB,ORI,5,35.3,-5,23,4,11,225,11,90m,60m,,E+R,,,M,!!!;Theta Orionis and the great nebula M42,Trapezium* 6.7-7.7m;>50 var* invl;M 43 to NE
NGC1977,OCL525,CL+NB,ORI,5,35.3,-4,51,7,99.9,225,11,20m,10m,,E+R,,,,nebula with star 42 Orionis,H V 30
NGC1980,OCL529,CL+NB,ORI,5,35.4,-5,55,2.5,99.9,270,11,14m,14m,,III 3 m n:,,,H,vF;vvL;44 Ori invl,H V 31
NGC1982,M43,BRTNB,ORI,5,35.5,-5,16,7,13,225,11,20m,15m,,E,,,M,!;vB;vL;R w tail;mbM*8,H III 1 ?;detached part of Orion Nebula
Cr70,,OPNCL,ORI,5,36,-1,0,0.4,99.9,225,11,150m,,,II 3 m n,100,1.7,,4''-vB; eL; 120* at 17X; Belt stars are blue-white,Orion's belt stars
NGC1990,LBN940,BRTNB,ORI,5,36.2,-1,12,99.9,99.9,226,11,50m,10m,,E+R,,,,eL;E;Epsilon orionis inv p;!,H V 34
