HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
1399,00 17 30.30,-59 57 03.8,11.3,22.54,2.33,1.4,0.02,          ,      ,          
1400,00 17 30.50,+45 45 57.5,8.82,10.73,1.1,0.552,0.013,          ,1307,B+44   54 
1404,00 17 34.50,-69 52 42.4,8.25,10.52,0.72,0.589,0.015,          ,1391,          
1407,00 17 36.40,-64 22 42.9,11.3,21.8,1.97,1.31,0.015,          ,      ,          
1408,00 17 38.70,-52 48 04.5,10.42,17.1,1.77,0.998,0.003,          ,      ,          
1411,00 17 40.40,+37 32 16.3,9.09,14.58,1.15,0.635,0.025,          ,1327,B+36   25 
1420,00 17 47.00,-03 16 27.4,10.43,17,2.22,1,0.002,          ,      ,B- 4   24 
1430,00 17 51.30,-49 17 26.3,9.56,8.35,1.47,0.577,0.021,          ,1381,          
1442,00 17 57.60,+40 13 39.0,9.94,16.75,1.48,0.82,0.02,          ,      ,B+39   51 
1444,00 17 58.60,-13 27 20.3,6.51,38.24,0.85,0.599,0.004,          ,1388,B-14   42 
1453,00 18 06.10,-26 54 28.4,9.7,8.82,1.54,0.624,0.036,          ,1409,          
1463,00 18 16.50,+10 12 10.3,10.88,61.67,2.2,1.479,0.012,          ,      ,          
1467,00 18 18.30,-34 10 23.8,8.68,6.06,1.2,0.49,0.015,          ,1432,          
1468,00 18 18.40,+19 24 15.9,8.94,14.05,1.13,0.57,0.027,          ,1407,B+18   27 
1478,00 18 21.50,+49 30 35.2,7.84,8.87,1.18,0.586,0.015,00184+4931,1402,B+48   67 
1491,00 18 33.20,-40 17 04.2,9.33,4.57,1.29,0.51,0.015,          ,1464,          
1499,00 18 41.60,-08 03 09.5,6.47,42.67,0.85,0.674,0.008,          ,1461,B- 8   38 
1500,00 18 41.90,-29 57 24.8,8.36,16.71,0.99,0.591,0.015,          ,1474,          
1509,00 18 47.50,-10 56 57.6,8.16,8.04,1,0.553,0.015,00188-1057,1472,B-11   44 
1518,00 18 55.60,-59 07 54.2,9.46,9.37,1.23,0.698,0.024,          ,1505,          
1532,00 19 05.50,-09 57 50.8,9.9,48.17,1.73,1.318,0.004,          ,      ,B-10   47 
1534,00 19 06.80,+17 34 20.5,9.21,6.68,1.15,0.707,0.027,          ,      ,B+16   19 
1536,00 19 07.40,-67 34 42.4,9.58,12.22,1.01,0.625,0.027,          ,1533,          
1541,00 19 12.70,+13 34 38.2,8.19,14.21,1.07,0.657,0.015,          ,1497,B+12   18 
1552,00 19 21.30,-40 07 14.0,8.12,18.95,0.99,0.661,0.002,          ,1530,          
1563,00 19 25.80,+13 51 52.5,9.33,6.88,1.47,0.415,0.033,          ,      ,B+13   35 
1565,00 19 28.80,-17 40 44.0,7.95,11.36,1.08,0.818,0.012,          ,1529,B-18   39 
1567,00 19 29.40,-54 00 41.4,8.49,13.16,1.04,0.575,0.012,          ,1551,          
1572,00 19 36.40,-69 06 10.2,8.75,14.55,0.84,0.594,0.015,          ,1582,          
1577,00 19 43.50,-56 51 05.4,9.68,5.7,1.44,0.497,0.024,          ,1570,          
1582,00 19 48.70,-60 54 43.9,7.97,16.31,0.82,0.552,0.012,          ,1591,          
1599,00 20 01.90,-64 52 39.4,4.23,116.38,0.64,0.576,0.01,          ,1581,          
